sentence,audio_url
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template1/Emphasis/lover/adore.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template1/Emphasis/lover/adore.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template1/Emphasis/lover/adore.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template1/Emphasis/lover/adore.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template1/Emphasis/lover/adore.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template1/Emphasis/lover/every.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template1/Emphasis/lover/every.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template1/Emphasis/lover/every.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template1/Emphasis/lover/every.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template1/Emphasis/lover/every.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template1/Emphasis/lover/i.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template1/Emphasis/lover/i.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template1/Emphasis/lover/i.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template1/Emphasis/lover/i.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template1/Emphasis/lover/i.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template1/Emphasis/lover/moment.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template1/Emphasis/lover/moment.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template1/Emphasis/lover/moment.wav
A twin of this stele was recently discovered in the now-submerged city of Heracleion.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_EQtO89a.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template1/Emphasis/lover/moment.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template1/Emphasis/lover/moment.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template1/Emphasis/lover/with.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template1/Emphasis/lover/with.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template1/Emphasis/lover/with.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template1/Emphasis/lover/with.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template1/Emphasis/lover/with.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template1/Emphasis/lover/you.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template1/Emphasis/lover/you.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template1/Emphasis/lover/you.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template1/Emphasis/lover/you.wav
I adore every moment with you.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template1/Emphasis/lover/you.wav
Please return my gardening tools soon.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template1/Emphasis/neighbor/gardening.wav
Please return my gardening tools soon.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template1/Emphasis/neighbor/gardening.wav
